term,norm_slope,last_count,mean
dallas,0.06209029056119208,0.0,0.6176470588235294
meeting,0.062008877172063236,4.0,2.323529411764706
rico,0.061892393260840714,0.0,1.0294117647058822
asian,0.061865407281708695,1.0,1.6176470588235294
morning,0.06184758633621244,4.0,1.5588235294117647
along,0.06176046168268933,2.0,0.7941176470588235
mark,0.06159554726709325,1.0,1.4411764705882353
indiana,0.06159554721010689,2.0,0.6176470588235294
know,0.06154523439112362,2.0,1.7352941176470589
plaintiff,0.06139315225480304,0.0,1.2941176470588236
campaign,0.061208356770048856,0.0,0.6764705882352942
board,0.06120835677004882,0.0,0.6764705882352942
critical,0.06113886105891032,1.0,0.7647058823529411
fine,0.0611153552126305,5.0,3.0
sector,0.061083743770749106,2.0,0.8529411764705882
climate,0.061038960987077916,1.0,1.1764705882352942
shared,0.061001855228310614,2.0,1.0294117647058822
candidate,0.060883116800315856,0.0,0.7352941176470589
orleans,0.06076713978885885,1.0,1.2647058823529411
executive,0.06075663457986397,0.0,0.6764705882352942
globe,0.06072150069856149,0.0,2.6470588235294117
conservative,0.060606060520202,0.0,0.7058823529411765
leading,0.06046753238529662,1.0,0.7352941176470589
major,0.06042378671795085,15.0,2.7941176470588234
print,0.06041784300421033,5.0,2.7058823529411766
whoever,0.06041784300421033,5.0,2.7058823529411766
funds,0.060339660260754636,0.0,0.7647058823529411
stars,0.06017316008791487,0.0,0.7058823529411765
always,0.060111317156851314,1.0,0.6176470588235294
help,0.05999999994899998,1.0,1.1764705882352942
issue,0.059976387187320665,1.0,0.9705882352941176
online,0.059827812613945826,4.0,2.6176470588235294
russia,0.059740259694096784,5.0,1.2941176470588236
wide,0.05974025963870129,0.0,0.5882352941176471
boom,0.05974025963870129,3.0,0.5882352941176471
upcoming,0.05956709949959018,0.0,0.8823529411764706
meta,0.059540459462598935,0.0,0.7647058823529411
growth,0.059286744969034695,1.0,1.8529411764705883
bloomberg,0.05922077914023895,3.0,0.7352941176470589
draw,0.05922077912010389,0.0,0.5882352941176471
involved,0.05922077912010389,0.0,0.5882352941176471
gave,0.0591408590635211,1.0,0.7647058823529411
canada,0.05913235696192081,0.0,1.3823529411764706
commentators,0.059079903113653714,1.0,1.7352941176470589
using,0.05897631774087088,2.0,1.0
community,0.058934169209901646,1.0,0.8529411764705882
crypto,0.058854087065839555,4.0,2.5
show,0.05877014549305895,3.0,2.4411764705882355
stories,0.05874125871565358,1.0,2.2941176470588234
claim,0.058741258664443255,0.0,0.7647058823529411
interactive,0.058741258664443255,0.0,0.7647058823529411
